episode,environment_steps,evaluation_return
10,222,9.0
20,402,11.0
30,600,9.0
40,793,10.0
50,966,9.0
60,1131,9.0
70,1298,10.0
80,1443,8.0
90,1610,8.0
100,1781,12.0
110,1985,10.0
120,2150,10.0
130,2420,29.0
140,2660,118.0
150,2995,193.0
160,3479,163.0
170,4596,178.0
180,5766,185.0
190,7564,204.0
200,9389,360.0
210,10908,133.0
220,11965,113.0
230,13148,121.0
240,13836,109.0
250,14624,27.0
260,15370,102.0
270,15758,28.0
280,16238,125.0
290,17008,109.0
300,18138,148.0
310,20738,500.0
320,22424,357.0
330,24398,136.0
340,25977,128.0
350,27455,158.0
360,28555,121.0
370,29782,144.0
380,30825,127.0
390,31871,82.0
400,33244,135.0
410,34331,114.0
420,35412,116.0
430,36321,128.0
440,37365,126.0
450,38856,180.0
460,40536,146.0
470,42398,173.0
480,44535,244.0
490,47561,344.0
500,51781,500.0
510,52310,71.0
520,53495,345.0
530,56990,199.0
540,60911,500.0
550,64070,500.0
560,68674,500.0
570,71592,10.0
580,71975,57.0
590,74408,120.0
600,77383,345.0
610,79785,140.0
620,81008,127.0
630,83031,500.0
640,86462,500.0
650,90265,500.0
660,95128,500.0
670,99207,500.0
680,104207,500.0
690,105928,500.0
700,109582,500.0
710,112910,500.0
720,117630,500.0
730,121987,500.0
740,126042,500.0
750,129378,245.0
760,130646,138.0
770,132537,236.0
780,133850,500.0
790,135713,500.0
800,137199,182.0
810,139301,210.0
820,141289,262.0
830,145086,256.0
840,146740,123.0
850,148547,212.0
860,149955,128.0
870,152393,139.0
880,155877,149.0
890,157637,200.0
900,159615,500.0
910,162546,500.0
920,167546,500.0
930,171807,219.0
940,176807,500.0
950,178295,99.0
960,181603,500.0
970,183738,500.0
980,185947,500.0
990,188934,500.0
1000,190505,100.0
