episode,environment_steps,evaluation_return
10,222,10.0
20,399,10.0
30,592,9.0
40,793,10.0
50,966,10.0
60,1104,9.0
70,1232,9.0
80,1392,11.0
90,1543,9.0
100,1683,10.0
110,1927,14.0
120,2083,9.0
130,2422,194.0
140,2855,500.0
150,3357,227.0
160,3912,197.0
170,4745,150.0
180,5868,163.0
190,6939,130.0
200,7762,79.0
210,8880,64.0
220,9819,183.0
230,10578,114.0
240,11393,132.0
250,12224,141.0
260,13452,166.0
270,14120,174.0
280,17255,500.0
290,19041,500.0
300,21066,148.0
310,21976,229.0
320,24018,179.0
330,26835,500.0
340,28775,90.0
350,30775,105.0
360,34382,500.0
370,38571,500.0
380,41940,186.0
390,44216,98.0
400,45413,106.0
410,46819,100.0
420,48040,129.0
430,50134,171.0
440,51814,500.0
450,53295,500.0
460,55448,500.0
470,56490,191.0
480,58127,112.0
490,60724,356.0
500,62076,110.0
510,63067,226.0
520,64494,240.0
530,66590,294.0
540,69104,308.0
550,73411,500.0
560,78397,500.0
570,83052,500.0
580,86837,500.0
590,91837,500.0
600,94752,191.0
610,96500,500.0
620,98510,500.0
630,99948,155.0
640,101289,164.0
650,103387,500.0
660,106634,500.0
670,107702,106.0
680,109936,267.0
690,111814,174.0
700,113247,131.0
710,115463,112.0
720,120175,500.0
730,125168,280.0
740,130072,500.0
750,135072,500.0
760,139679,30.0
770,142250,500.0
780,145707,141.0
790,150243,500.0
800,153975,500.0
810,158062,500.0
820,161454,500.0
830,164144,109.0
840,166169,500.0
850,169782,500.0
860,173825,215.0
870,176313,132.0
880,180054,500.0
890,182648,14.0
900,185772,500.0
910,190407,96.0
920,192147,107.0
930,195117,127.0
940,200117,500.0
950,205117,500.0
960,209223,500.0
970,211067,176.0
980,213967,138.0
990,217660,500.0
1000,221506,120.0
