episode,environment_steps,evaluation_return
10,222,10.0
20,399,9.0
30,606,8.0
40,888,10.0
50,1093,9.0
60,1246,10.0
70,1398,10.0
80,1532,8.0
90,1664,10.0
100,1788,9.0
110,1943,9.0
120,2119,8.0
130,2361,15.0
140,2945,140.0
150,3486,151.0
160,4301,293.0
170,5350,260.0
180,6498,114.0
190,7324,108.0
200,8210,247.0
210,9156,225.0
220,10415,97.0
230,11079,166.0
240,11861,143.0
250,13043,147.0
260,14522,500.0
270,15880,217.0
280,17442,145.0
290,19187,500.0
300,20466,500.0
310,21241,500.0
320,23683,500.0
330,25905,278.0
340,28910,500.0
350,30892,439.0
360,31918,107.0
370,34456,116.0
380,37574,500.0
390,41765,500.0
400,44879,500.0
410,48057,500.0
420,50897,500.0
430,53483,500.0
440,55921,500.0
450,60084,500.0
460,64181,500.0
470,67291,500.0
480,71135,500.0
490,75337,500.0
500,79397,114.0
510,84059,500.0
520,88129,500.0
530,92157,500.0
540,96341,500.0
550,100881,196.0
560,105584,212.0
570,110535,500.0
580,114365,495.0
590,118550,500.0
600,122373,179.0
610,125280,500.0
620,127999,162.0
630,129358,136.0
640,130424,105.0
650,133384,109.0
660,135452,138.0
670,138813,500.0
680,142285,352.0
690,143518,96.0
700,144653,95.0
710,147098,500.0
720,149371,108.0
730,153148,500.0
740,157459,500.0
750,161731,500.0
760,166731,500.0
770,170532,500.0
780,174798,500.0
790,179012,500.0
800,183824,500.0
810,185875,51.0
820,186609,66.0
830,187264,500.0
840,188127,176.0
850,189086,92.0
860,190127,101.0
870,191248,104.0
880,192836,128.0
890,195996,500.0
900,198149,23.0
910,199413,22.0
920,200358,500.0
930,201212,500.0
940,202077,95.0
950,203017,90.0
960,204055,89.0
970,204999,93.0
980,205977,92.0
990,206884,98.0
1000,207823,92.0
