episode,environment_steps,evaluation_return
10,222,10.0
20,399,9.0
30,606,10.0
40,793,10.0
50,966,10.0
60,1111,9.0
70,1268,10.0
80,1442,10.0
90,1634,9.0
100,1778,10.0
110,1915,10.0
120,2037,9.0
130,2164,10.0
140,2319,11.0
150,2488,9.0
160,2663,9.0
170,2860,15.0
180,3167,34.0
190,3856,49.0
200,4799,343.0
210,6871,341.0
220,9346,273.0
230,11720,230.0
240,14410,269.0
250,16762,212.0
260,18958,190.0
270,21197,233.0
280,23131,187.0
290,25285,191.0
300,27120,179.0
310,29011,221.0
320,30875,144.0
330,32368,174.0
340,33933,154.0
350,35454,145.0
360,37009,163.0
370,38419,169.0
380,39922,155.0
390,41318,165.0
400,42920,170.0
410,44467,148.0
420,45738,137.0
430,46847,132.0
440,47692,140.0
450,48844,136.0
460,50206,158.0
470,51436,156.0
480,52977,128.0
490,54306,131.0
500,55646,135.0
510,57025,132.0
520,58477,137.0
530,59914,139.0
540,61283,137.0
550,62689,156.0
560,64144,167.0
570,65608,143.0
580,67125,150.0
590,68710,172.0
600,70249,159.0
610,71828,145.0
620,73450,156.0
630,75032,179.0
640,76650,186.0
650,79422,500.0
660,82637,500.0
670,87483,500.0
680,92483,500.0
690,97483,500.0
700,102483,500.0
710,107483,500.0
720,112483,500.0
730,117483,500.0
740,122338,300.0
750,124672,180.0
760,126552,160.0
770,128203,186.0
780,129966,171.0
790,131735,182.0
800,133664,194.0
810,135846,224.0
820,138242,252.0
830,140972,298.0
840,145320,500.0
850,150320,500.0
860,155320,500.0
870,160320,500.0
880,165320,500.0
890,169231,275.0
900,171586,220.0
910,173666,232.0
920,175221,12.0
930,175613,308.0
940,176824,278.0
950,181283,500.0
960,186283,500.0
970,191283,500.0
980,196283,500.0
990,199098,46.0
1000,201431,500.0
