episode,environment_steps,evaluation_return
10,222,9.0
20,402,9.0
30,570,9.0
40,825,10.0
50,1040,10.0
60,1205,10.0
70,1354,9.0
80,1518,8.0
90,1808,10.0
100,1947,10.0
110,2125,54.0
120,2528,213.0
130,3346,203.0
140,3903,242.0
150,4783,162.0
160,5539,140.0
170,6396,127.0
180,7006,129.0
190,7633,99.0
200,8095,113.0
210,8696,102.0
220,9279,105.0
230,10094,96.0
240,10710,94.0
250,11326,94.0
260,12156,108.0
270,12725,98.0
280,13464,89.0
290,14289,156.0
300,15274,101.0
310,16098,91.0
320,16655,94.0
330,17607,162.0
340,18717,101.0
350,20170,106.0
360,20911,135.0
370,23731,222.0
380,25525,115.0
390,27727,237.0
400,29661,285.0
410,32566,500.0
420,36117,500.0
430,36844,23.0
440,38290,106.0
450,43230,500.0
460,48057,500.0
470,52935,233.0
480,54833,500.0
490,58309,500.0
500,62741,500.0
510,65754,202.0
520,68830,397.0
530,72693,500.0
540,76748,500.0
550,80384,500.0
560,84555,500.0
570,86687,103.0
580,87839,107.0
590,88896,101.0
600,90097,115.0
610,91267,104.0
620,92771,98.0
630,93494,87.0
640,94461,140.0
650,97235,133.0
660,98626,500.0
670,99802,122.0
680,101081,311.0
690,102735,95.0
700,103941,310.0
710,106453,500.0
720,111031,500.0
730,116031,500.0
740,118634,158.0
750,123443,500.0
760,128443,500.0
770,132682,500.0
780,136446,500.0
790,141446,500.0
800,143080,500.0
810,143241,12.0
820,143430,18.0
830,147343,500.0
840,151858,500.0
850,156014,500.0
860,158871,500.0
870,163798,500.0
880,168311,147.0
890,171577,500.0
900,176218,500.0
910,178349,209.0
920,180118,186.0
930,181645,194.0
940,183285,138.0
950,184998,133.0
960,188545,159.0
970,190250,122.0
980,192136,170.0
990,194718,160.0
1000,196362,123.0
