episode,environment_steps,evaluation_return
10,222,8.0
20,423,8.0
30,667,9.0
40,859,9.0
50,1070,10.0
60,1285,12.0
70,1446,9.0
80,1639,11.0
90,1883,9.0
100,2035,9.0
110,2318,30.0
120,2587,107.0
130,3279,266.0
140,4133,189.0
150,4963,128.0
160,5848,179.0
170,6784,205.0
180,7453,98.0
190,8474,91.0
200,9224,108.0
210,9885,113.0
220,10695,122.0
230,11573,113.0
240,12574,123.0
250,13588,123.0
260,14537,112.0
270,15434,109.0
280,16636,121.0
290,18000,121.0
300,19117,174.0
310,20403,138.0
320,21552,98.0
330,22650,254.0
340,24000,256.0
350,25769,270.0
360,27098,122.0
370,28340,167.0
380,30233,260.0
390,33210,104.0
400,36673,112.0
410,38280,106.0
420,39560,105.0
430,40888,500.0
440,43990,500.0
450,47330,500.0
460,51006,173.0
470,55679,500.0
480,57337,500.0
490,59766,258.0
500,63626,500.0
510,67076,500.0
520,70635,500.0
530,72584,500.0
540,75177,500.0
550,79356,500.0
560,83264,160.0
570,84645,109.0
580,85740,88.0
590,86472,89.0
600,87166,96.0
610,87895,107.0
620,88987,170.0
630,89842,101.0
640,90997,100.0
650,92894,125.0
660,96780,500.0
670,100939,500.0
680,105550,500.0
690,110550,122.0
700,115195,500.0
710,120195,500.0
720,125195,500.0
730,129594,500.0
740,131369,500.0
750,136029,98.0
760,139997,500.0
770,143331,500.0
780,145329,107.0
790,148150,124.0
800,149773,500.0
810,154054,500.0
820,157835,500.0
830,160865,119.0
840,162368,114.0
850,165453,500.0
860,170453,500.0
870,174807,127.0
880,179507,500.0
890,184507,500.0
900,189023,444.0
910,191743,500.0
920,193591,500.0
930,197088,314.0
940,197642,500.0
950,202010,500.0
960,207010,500.0
970,212010,500.0
980,217010,500.0
990,222010,24.0
1000,225971,135.0
